request_id,amount_safe_to_pay,affordability_status,recommended_payment_method,payment_plan,earliest_date_for_full_payment,spending_changes_needed,decision_explanation
request_26,15656000,affordable_now,full_payment,2025-08-03:15656000,2025-08-03,none,Pay IDR 15656000 today while keeping at least IDR 24768300 available.
request_27,6670,affordable_now,full_payment,2026-07-05:6670,2026-07-05,stop:event_2372,Pay ZAR 6670 today while keeping at least ZAR 20500 available.
request_28,459.49,affordable_later,wait,2024-07-14:1302.4,2024-07-14,none,"Wait until 2024-07-14, when EUR 1302.4 can be paid while keeping the EUR 1100 minimum."
request_29,30431.81,not_affordable,not_recommended,none,,none,Do not proceed: no eligible plan keeps the ZAR 28300 minimum protected through the deadline.
request_30,775.2,affordable_with_plan,installments,2026-04-06:268.74|2026-05-06:268.74|2026-06-05:268.74,2026-04-06,stop:event_2724,Use the recommended installments plan; it keeps at least USD 900 available.
request_31,10689632.79,affordable_later,wait,2024-09-14:18164000,2024-09-14,none,"Wait until 2024-09-14, when IDR 18164000 can be paid while keeping the IDR 16588900 minimum."
request_32,0,not_affordable,not_recommended,none,,none,Do not proceed: no eligible plan keeps the ZAR 35700 minimum protected through the deadline.
request_33,51782.22,affordable_later,wait,2026-01-14:118000,2026-01-14,none,"Wait until 2026-01-14, when INR 118000 can be paid while keeping the INR 102100 minimum."
request_34,129400,affordable_now,full_payment,2024-12-04:129400,2024-12-04,stop:event_3056,Pay INR 129400 today while keeping at least INR 138500 available.
request_35,69538.66,affordable_later,wait,2025-12-14:212000,2025-12-14,none,"Wait until 2025-12-14, when INR 212000 can be paid while keeping the INR 106400 minimum."
request_36,921.23,affordable_later,wait,2026-09-13:3954,2026-09-13,none,"Wait until 2026-09-13, when USD 3954 can be paid while keeping the USD 2400 minimum."
request_37,6175366.15,affordable_later,wait,2024-04-17:14649000,2024-04-17,none,"Wait until 2024-04-17, when IDR 14649000 can be paid while keeping the IDR 17056200 minimum."
request_38,283.82,affordable_later,wait,2025-09-13:971.3,2025-09-13,none,"Wait until 2025-09-13, when EUR 971.3 can be paid while keeping the EUR 400 minimum."
request_39,149777.5,affordable_later,wait,2026-04-14:208600,2026-04-14,none,"Wait until 2026-04-14, when INR 208600 can be paid while keeping the INR 213400 minimum."
request_40,0,not_affordable,not_recommended,none,,none,Do not proceed: no eligible plan keeps the EUR 1500 minimum protected through the deadline.
request_41,11960958.41,affordable_later,wait,2025-11-14:38760000,2025-11-14,none,"Wait until 2025-11-14, when IDR 38760000 can be paid while keeping the IDR 25366600 minimum."
request_42,52100,affordable_now,full_payment,2026-01-05:52100,2026-01-05,stop:event_3932,Pay INR 52100 today while keeping at least INR 113100 available.
request_43,0,not_affordable,not_recommended,none,,none,Do not proceed: no eligible plan keeps the IDR 21398000 minimum protected through the deadline.
request_44,0,not_affordable,not_recommended,none,,none,Do not proceed: no eligible plan keeps the INR 82900 minimum protected through the deadline.
request_45,6059752.01,affordable_later,wait,2026-08-14:21983000,2026-08-14,none,"Wait until 2026-08-14, when IDR 21983000 can be paid while keeping the IDR 11149800 minimum."
request_46,49450,affordable_with_plan,installments,2024-12-03:25714|2024-12-31:25714,2024-12-03,stop:event_4196,Use the recommended installments plan; it keeps at least INR 84000 available.
request_47,38114000,affordable_now,full_payment,2025-05-05:38114000,2025-05-05,stop:event_4299,Pay IDR 38114000 today while keeping at least IDR 30049000 available.
request_48,45700,affordable_now,full_payment,2026-07-25:45700,2026-07-25,stop:event_4411,Pay INR 45700 today while keeping at least INR 71300 available.
request_49,12887654.29,affordable_with_plan,installments,2024-03-18:11902106.67|2024-04-18:11902106.67|2024-05-19:11902106.67,2024-04-17,none,Use the recommended installments plan; it keeps at least IDR 20275700 available.
request_50,43900,affordable_now,full_payment,2025-08-06:43900,2025-08-06,stop:event_4644,Pay INR 43900 today while keeping at least INR 99700 available.
request_51,2191000,affordable_now,full_payment,2026-01-03:2191000,2026-01-03,none,Pay IDR 2191000 today while keeping at least IDR 7811000 available.
request_52,0,not_affordable,not_recommended,none,,none,Do not proceed: no eligible plan keeps the INR 41500 minimum protected through the deadline.
request_53,883.42,affordable_with_plan,installments,2025-11-21:589.06|2025-12-19:589.06|2026-01-16:589.06,2025-11-14,none,Use the recommended installments plan; it keeps at least USD 2100 available.
request_54,10088.84,not_affordable,not_recommended,none,,none,Do not proceed: no eligible plan keeps the ZAR 37000 minimum protected through the deadline.
request_55,140671.7,affordable_with_plan,installments,2026-06-11:75781.33|2026-07-12:75781.33|2026-08-12:75781.33,2026-06-14,none,Use the recommended installments plan; it keeps at least INR 124300 available.
request_56,777.1,affordable_with_plan,installments,2025-02-03:458.42|2025-03-03:458.42,2025-02-14,none,Use the recommended installments plan; it keeps at least USD 2100 available.
request_57,14724.02,affordable_later,wait,2026-05-14:61446,2026-05-14,none,"Wait until 2026-05-14, when ZAR 61446 can be paid while keeping the ZAR 42700 minimum."
request_58,16226000,affordable_now,full_payment,2024-12-07:16226000,2024-12-07,stop:event_5326,Pay IDR 16226000 today while keeping at least IDR 14433900 available.
request_59,140600,affordable_with_plan,installments,2025-05-07:48741.33|2025-06-04:48741.33|2025-07-02:48741.33,2025-05-04,stop:event_5431,Use the recommended installments plan; it keeps at least INR 132600 available.
request_60,185.38,affordable_later,wait,2026-01-14:199.89,2026-01-14,none,"Wait until 2026-01-14, when USD 199.89 can be paid while keeping the USD 400 minimum."
request_61,29062,affordable_with_plan,installments,2024-03-17:10074.83|2024-04-17:10074.83|2024-05-18:10074.83,2024-03-03,stop:event_5665,Use the recommended installments plan; it keeps at least ZAR 36700 available.
request_62,404.23,affordable_now,full_payment,2025-08-05:404.23,2025-08-05,stop:event_5721,Pay USD 404.23 today while keeping at least USD 1300 available.
request_63,54182.39,affordable_with_plan,partial_payment,2026-07-07:54182.39|2026-08-14:289717.61,2026-08-14,none,Use the recommended partial payment plan; it keeps at least INR 153500 available.
request_64,50857.71,affordable_with_plan,installments,2024-06-11:22082.67|2024-07-12:22082.67|2024-08-12:22082.67,2024-06-14,none,Use the recommended installments plan; it keeps at least INR 36100 available.
request_65,9098.58,not_affordable,not_recommended,none,,none,Do not proceed: no eligible plan keeps the ZAR 15500 minimum protected through the deadline.
request_66,22200,affordable_now,full_payment,2026-04-03:22200,2026-04-03,none,Pay INR 22200 today while keeping at least INR 80700 available.
request_67,500.99,affordable_later,wait,2024-09-14:2094,2024-09-14,none,"Wait until 2024-09-14, when USD 2094 can be paid while keeping the USD 1200 minimum."
request_68,1508.65,affordable_with_plan,installments,2025-02-14:725.09|2025-03-14:725.09|2025-04-11:725.09,2025-02-26,none,Use the recommended installments plan; it keeps at least USD 1500 available.
request_69,529.1,affordable_now,full_payment,2026-01-04:529.1,2026-01-04,stop:event_6377,Pay EUR 529.1 today while keeping at least EUR 700 available.
request_70,59952.21,affordable_later,wait,2025-01-14:243900,2025-01-14,none,"Wait until 2025-01-14, when INR 243900 can be paid while keeping the INR 115000 minimum."
request_71,1976068.54,not_affordable,not_recommended,none,,none,Do not proceed: no eligible plan keeps the IDR 8884800 minimum protected through the deadline.
request_72,0,not_affordable,not_recommended,none,,none,Do not proceed: no eligible plan keeps the ZAR 12200 minimum protected through the deadline.
request_73,71400,affordable_now,full_payment,2023-01-20:71400,2023-01-20,stop:event_6754,Pay INR 71400 today while keeping at least INR 103200 available.
request_74,5010,affordable_now,full_payment,2025-08-04:5010,2025-08-04,stop:event_6864,Pay ZAR 5010 today while keeping at least ZAR 21900 available.
request_75,28270,affordable_with_plan,installments,2026-04-09:9800.27|2026-05-09:9800.27|2026-06-08:9800.27,2026-04-06,stop:event_6937,Use the recommended installments plan; it keeps at least ZAR 39000 available.
request_76,1117.02,not_affordable,not_recommended,none,,none,Do not proceed: no eligible plan keeps the USD 1800 minimum protected through the deadline.
request_77,60700,affordable_now,full_payment,2025-11-05:60700,2025-11-05,stop:event_7111,Pay INR 60700 today while keeping at least INR 82200 available.
request_78,50200,affordable_now,full_payment,2025-10-02:50200,2025-10-02,stop:event_7193,Pay INR 50200 today while keeping at least INR 55200 available.
request_79,856.13,affordable_with_plan,partial_payment,2024-09-04:856.13|2024-09-14:1295.47,2024-09-14,none,Use the recommended partial payment plan; it keeps at least EUR 1000 available.
request_80,120943.83,not_affordable,not_recommended,none,,none,Do not proceed: no eligible plan keeps the INR 121300 minimum protected through the deadline.
request_81,2076,affordable_now,full_payment,2026-07-03:2076,2026-07-03,stop:event_7541,Pay USD 2076 today while keeping at least USD 1600 available.
request_82,463.98,affordable_later,wait,2025-01-14:1405.2,2025-01-14,none,"Wait until 2025-01-14, when USD 1405.2 can be paid while keeping the USD 1100 minimum."
request_83,0,not_affordable,not_recommended,none,,none,Do not proceed: no eligible plan keeps the INR 37800 minimum protected through the deadline.
request_84,32521.23,affordable_later,wait,2026-05-14:95400,2026-05-14,none,"Wait until 2026-05-14, when INR 95400 can be paid while keeping the INR 91300 minimum."
request_85,1709355.07,not_affordable,not_recommended,none,,none,Do not proceed: no eligible plan keeps the IDR 6396300 minimum protected through the deadline.
request_86,46300,affordable_now,full_payment,2025-08-03:46300,2025-08-03,stop:event_8051,Pay INR 46300 today while keeping at least INR 84900 available.
request_87,0,not_affordable,not_recommended,none,,none,Do not proceed: no eligible plan keeps the INR 185900 minimum protected through the deadline.
request_88,11959.79,affordable_with_plan,installments,2024-06-14:9045.23|2024-07-15:9045.23|2024-08-15:9045.23,2024-06-14,none,Use the recommended installments plan; it keeps at least ZAR 25800 available.
request_89,10945379.21,affordable_with_plan,installments,2025-11-18:4768746.67|2025-12-16:4768746.67|2026-01-13:4768746.67,2025-11-14,none,Use the recommended installments plan; it keeps at least IDR 12534700 available.
